warn: LLAMA_ARG_HOST environment variable is set, but will be overwritten by command line argument --host
0.00.191.515 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.191.634 I srv          init: The UI is disabled
0.00.191.642 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.191.715 W srv  llama_server: -----------------
0.00.191.721 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.191.721 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.191.721 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.191.722 W srv  llama_server: -----------------
1.49.983.359 I srv    load_model: loading model 'bartowski/Qwen_Qwen3.5-4B-GGUF:Q4_K_M'
1.50.752.659 W model has unused tensor blk.32.attn_norm.weight (size = 10240 bytes) -- ignoring
1.50.752.671 W model has unused tensor blk.32.post_attention_norm.weight (size = 10240 bytes) -- ignoring
1.50.752.680 W model has unused tensor blk.32.attn_q.weight (size = 22282240 bytes) -- ignoring
1.50.752.683 W model has unused tensor blk.32.attn_k.weight (size = 2785280 bytes) -- ignoring
1.50.752.686 W model has unused tensor blk.32.attn_v.weight (size = 2785280 bytes) -- ignoring
1.50.752.696 W model has unused tensor blk.32.attn_output.weight (size = 11141120 bytes) -- ignoring
1.50.752.699 W model has unused tensor blk.32.attn_q_norm.weight (size = 1024 bytes) -- ignoring
1.50.752.702 W model has unused tensor blk.32.attn_k_norm.weight (size = 1024 bytes) -- ignoring
1.50.752.706 W model has unused tensor blk.32.ffn_gate.weight (size = 25067520 bytes) -- ignoring
1.50.752.709 W model has unused tensor blk.32.ffn_down.weight (size = 25067520 bytes) -- ignoring
1.50.752.712 W model has unused tensor blk.32.ffn_up.weight (size = 25067520 bytes) -- ignoring
1.50.752.717 W model has unused tensor blk.32.nextn.eh_proj.weight (size = 13926400 bytes) -- ignoring
1.50.752.720 W model has unused tensor blk.32.nextn.enorm.weight (size = 10240 bytes) -- ignoring
1.50.752.724 W model has unused tensor blk.32.nextn.hnorm.weight (size = 10240 bytes) -- ignoring
1.50.752.741 W model has unused tensor blk.32.nextn.shared_head_norm.weight (size = 10240 bytes) -- ignoring
1.51.968.985 I cmn          init: llama threadpool init, n_threads = 4
1.52.134.835 W load_hparams: Qwen-VL models require at minimum 1024 image tokens to function correctly on grounding tasks
1.52.134.849 W load_hparams: if you encounter problems with accuracy, try adding --image-min-tokens 1024
1.52.134.849 W load_hparams: more info: https://github.com/ggml-org/llama.cpp/issues/16842

1.52.248.246 I srv    load_model: loaded multimodal model, '/root/.cache/huggingface/hub/models--bartowski--Qwen_Qwen3.5-4B-GGUF/snapshots/4168f45a16a1290d65a4ec0fa312ae917a4c15d6/mmproj-Qwen_Qwen3.5-4B-bf16.gguf'
1.52.412.602 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 4096, kv_unified = 'false'
1.52.419.107 I srv  llama_server: model loaded
1.52.419.118 I srv  llama_server: listening on http://127.0.0.1:8080
1.52.419.119 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
1.52.419.119 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
1.53.202.866 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.53.202.994 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
2.09.371.858 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    299, progress = 0.73, t =  16.17 s / 18.49 tokens per second
2.15.311.393 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    406, progress = 0.99, t =  22.11 s / 18.36 tokens per second
2.18.462.655 I slot print_timing: id  0 | task 0 | prompt eval time =   22399.53 ms /   410 tokens (   54.63 ms per token,    18.30 tokens per second)
2.18.462.669 I slot print_timing: id  0 | task 0 |        eval time =    2860.09 ms /    29 tokens (  102.15 ms per token,     9.79 tokens per second)
2.18.462.670 I slot print_timing: id  0 | task 0 |       total time =   25259.61 ms /   439 tokens
2.18.462.676 I slot print_timing: id  0 | task 0 |    graphs reused =         28
2.18.463.454 I slot      release: id  0 | task 0 | stop processing: n_tokens = 438, truncated = 0
2.18.521.742 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.436 (> 0.100 thold), f_keep = 0.927
2.18.521.819 I slot launch_slot_: id  0 | task 32 | processing task, is_child = 0
2.48.356.257 I slot print_timing: id  0 | task 32 | prompt processing, n_tokens =    522, progress = 1.00, t =  29.83 s / 17.50 tokens per second
2.51.739.305 I slot print_timing: id  0 | task 32 | prompt eval time =   30121.76 ms /   526 tokens (   57.27 ms per token,    17.46 tokens per second)
2.51.739.455 I slot print_timing: id  0 | task 32 |        eval time =    3095.69 ms /    31 tokens (  103.19 ms per token,     9.69 tokens per second)
2.51.739.535 I slot print_timing: id  0 | task 32 |       total time =   33217.46 ms /   557 tokens
2.51.739.622 I slot print_timing: id  0 | task 32 |    graphs reused =         57
2.51.739.911 I slot      release: id  0 | task 32 | stop processing: n_tokens = 962, truncated = 0
2.51.798.478 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.887 (> 0.100 thold), f_keep = 0.965
2.51.798.540 I slot launch_slot_: id  0 | task 67 | processing task, is_child = 0
2.58.352.421 I slot print_timing: id  0 | task 67 | prompt processing, n_tokens =    114, progress = 1.00, t =   6.55 s / 17.39 tokens per second
3.01.737.170 I slot print_timing: id  0 | task 67 | prompt eval time =    6844.88 ms /   118 tokens (   58.01 ms per token,    17.24 tokens per second)
3.01.737.187 I slot print_timing: id  0 | task 67 |        eval time =    3093.72 ms /    30 tokens (  106.68 ms per token,     9.37 tokens per second)
3.01.737.188 I slot print_timing: id  0 | task 67 |       total time =    9938.59 ms /   148 tokens
3.01.737.189 I slot print_timing: id  0 | task 67 |    graphs reused =         85
3.01.737.596 I slot      release: id  0 | task 67 | stop processing: n_tokens = 1075, truncated = 0
3.01.796.754 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.846 (> 0.100 thold), f_keep = 0.969
3.01.796.833 I slot launch_slot_: id  0 | task 100 | processing task, is_child = 0
3.12.775.488 I slot print_timing: id  0 | task 100 | prompt processing, n_tokens =    185, progress = 1.00, t =  10.98 s / 16.85 tokens per second
3.15.486.981 I slot print_timing: id  0 | task 100 | prompt eval time =   11273.63 ms /   189 tokens (   59.65 ms per token,    16.76 tokens per second)
